"Coach" "start_year"
"2250" "randy-monroe-1" 2005
"435" "bob-burton-1" 2004
"561" "jim-christian-1" 2003
"1238" "greg-graham-2" 2003
"2494" "randy-peele-1" 1996
"730" "dan-dakich-1" 1998
"384" "milan-brown-1" 2004
"327" "bobby-braswell-1" 1997
"2917" "john-shulman-1" 2005
"1706" "danny-kaspar-1" 2001
"1261" "brad-greenberg-1" 2008
"2530" "saul-phillips-1" 2009
"311" "jim-boylen-1" 2008
"355" "kevin-broadus-1" 2008
"289" "ken-bone-1" 2006
"1674" "johnny-jones-2" 1981
"1675" "johnny-jones-2" 2000
"137" "tony-barbee-1" 2007
"1931" "mike-lonergan-1" 2006
"2688" "mike-rice-2" 1979
"2689" "mike-rice-2" 2008
"2020" "bob-marlin-1" 1999
"1596" "george-ivory-1" 2009
"313" "todd-bozeman-1" 1993
"2605" "oliver-purnell-1" 1989
"164" "murry-bartow-1" 1997
"1462" "bj-hill-1" 2011
"784" "ed-dechellis-1" 1997
"1700" "greg-kampe-1" 2000
"1691" "edward-joyner-1" 2010
"905" "john-dunne-1" 2007
"3214" "donnie-tyndall-1" 2007
"538" "patrick-chambers-2" 2010
"3396" "bob-williams-1" 1999
"3497" "mike-young-1" 2003
"1850" "greg-lansing-1" 2011
"1656" "sydney-johnson-1" 2008
"395" "brad-brownell-1" 2003
"3149" "brooks-thompson-1" 2007
"2202" "tim-miles-1" 2008
"1030" "jim-ferry-1" 2003
"2067" "ray-mccallum-1" 1994
"184" "john-becker-1" 2012
"2477" "jimmy-patsos-1" 2005
"2846" "mark-schmidt-1" 2002
"243" "eddie-biedenbach-1" 1979
"589" "tim-cluess-1" 2011
"446" "rick-byrd-1" 2000
"133" "roman-banks-1" 2012
"2331" "scott-nagy-1" 2009
"734" "keith-dambrot-1" 1992
"1363" "ray-harper-1" 2012
"391" "will-brown-2" 2002
"876" "bryce-drew-1" 2012
"2181" "marvin-menzies-1" 2008
"30" "cy-alexander-1" 1988
"2483" "david-paulsen-1" 2009
"3177" "wayne-tinkle-1" 2007
"2683" "dave-rice-1" 2012
"321" "matt-brady-1" 2005
